case_id,route,target,R,C,requested_systolic_mmHg,requested_diastolic_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,status,wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,stroke_volume_mL,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen,J,refinement_step
coarse_higher_R1.900_C0.500,modifier,higher,1.9,0.5,150.0,90.0,148.60512489521057,90.7067870743288,ok,124.24553973998992,145.87837650581147,90.43203845121504,119.38453085450982,72.01399186676505,3.945480981156918,1.7655185908238082,0.9999434744713612,0.9999971451753212,0.9999768901042444,1.00000585218351,0.0,462.7798273505608,290.2189540334763,290.2189540334775,543.9751995863116,916.1236649250106,595.776134340648,192.874191455672,160.30774896171258,55.44633805459642,54.78769998553273,0.0083107366552326,0.0099245348392571,True,,122.0,826.0,0,False,7.510643584993441,
coarse_higher_R2.000_C0.500,modifier,higher,2.0,0.5,150.0,90.0,148.60512489521057,90.7067870743288,ok,137.23786121900775,146.8822666385164,93.1713442187174,121.0995590680448,72.01476500436432,3.803440364728932,1.8603047254902263,0.9999791882369422,0.9999989489008552,0.9999922987597908,1.0000016957660716,0.0,447.7935173110993,278.298771686083,278.29877168608493,526.6769943757192,883.6400292593727,576.9932840266156,186.6283842098299,155.2965347312615,53.71092241979899,52.8147299307084,0.0115643174503645,0.0131011413945287,True,,135.0,891.0,0,False,9.042282490616188,
coarse_higher_R1.800_C0.500,modifier,higher,1.8,0.5,150.0,90.0,148.60512489521057,90.7067870743288,ok,120.7023914839956,144.7588833122171,88.35865730155597,117.57457431487296,72.01448272744041,4.093921039667812,1.6733121739649974,0.999939532442674,0.999996946082962,0.9999762513731734,1.000005737204027,0.0,478.6680954492026,300.55759778833504,300.55759778833453,562.2259326683472,949.8862632013464,615.5364286538006,199.49474690194904,165.56882760284168,56.40022601066114,56.84857940537375,0.0110847229571788,0.0086872177613628,True,,119.0,799.0,0,False,20.307287744530225,
coarse_higher_R2.000_C0.400,modifier,higher,2.0,0.4,150.0,90.0,148.60512489521057,90.7067870743288,ok,89.38479840100626,152.16223427865793,87.78500983671944,120.85723112858686,72.01294545221667,3.835829669902422,1.8402031511308063,0.9998164933994113,0.9999907319898692,0.9999234291518904,1.000019743337699,0.0,433.0612345220389,268.52874900295035,268.5287490029499,506.25627155186544,873.5123258013233,552.4859028664229,180.4795404013609,148.32031939252542,64.3772244419385,53.26583499417672,0.0128829138884327,0.0074722510672273,True,,87.6,600.0,0,False,21.189809392021512,
coarse_higher_R1.900_C0.400,modifier,higher,1.9,0.4,150.0,90.0,148.60512489521057,90.7067870743288,ok,133.9768031249987,151.30147862490506,86.09271717503479,119.41999679038086,72.01407828032288,3.940834332767551,1.7681179727955278,0.9999438148916346,0.9999971623682644,0.9999771893926112,1.0000057336124355,0.0,458.5054522606076,262.5366569262443,262.53665692624486,537.9748501067347,913.6017347198564,588.5173024969474,191.0918020406028,158.21831523607614,65.20876144987027,54.72311007616332,0.0095017023383263,0.012819841708989,True,,132.0,870.0,0,False,28.559964471208428,
coarse_higher_R1.700_C0.500,modifier,higher,1.7,0.5,150.0,90.0,148.60512489521057,90.7067870743288,ok,117.61626622499898,143.52878297930238,85.98375297660418,115.63366038486376,72.01573819946384,4.252477123531112,1.5817468608132776,1.0000193229199636,1.0000009759050488,1.0000107423370994,0.999996516196727,0.0,495.5302640442905,309.0105433622281,309.0105433622292,581.519528464205,986.15161330108,636.3682858714758,206.52247887313968,171.10285986985326,57.5450300026982,59.04927492033641,0.017320770037287,0.0172391165510248,True,,116.0,781.0,0,False,48.07629833547584,
coarse_higher_R1.800_C0.400,modifier,higher,1.8,0.4,150.0,90.0,148.60512489521057,90.7067870743288,ok,127.1412081180024,150.2817138808541,83.10770540945921,117.60042735147424,72.01541566556861,4.0890615691002425,1.6756623074560766,1.000024219340466,1.0000012231990132,1.000012168776088,0.9999963392271668,0.0,476.87273114914,271.6291332707393,271.62913327073807,559.3125365225371,946.6966438180488,612.2059881926943,198.6263508548816,164.90310435123152,67.1740084713949,56.780364749811056,0.0151029534115423,0.01608036282623,True,,125.0,842.0,0,False,60.5569927761384,
coarse_higher_R1.900_C0.600,modifier,higher,1.9,0.6,150.0,90.0,148.60512489521057,90.7067870743288,ok,126.31092457100748,141.869141366107,94.65991263755268,119.29205665762484,72.01410957283504,3.9438486915880095,1.7649397240812876,0.9999523157646284,0.9999975917052832,0.9999806693473758,1.000004854549134,0.0,462.9393853109678,303.1887833709973,303.1887833709966,544.0134506256846,912.8060570309704,596.0042117938754,192.8615399849046,160.58392182203505,47.20922872855432,54.76494418915508,0.0101722955971581,0.0113596053157181,True,,125.0,818.0,0,False,61.00067582296869,
coarse_higher_R1.800_C0.600,modifier,higher,1.8,0.6,150.0,90.0,148.60512489521057,90.7067870743288,ok,117.1752888240153,140.69489504381554,91.87121480096864,117.46172821789747,72.01531677301261,4.095308293600366,1.671119580942416,0.9999970834719952,0.9999998527006062,1.0000000000256517,0.9999998384140848,0.0,480.8017598751973,320.2257369113854,320.22573691138814,565.3113912692797,950.3674670215768,619.324751885151,200.3851280495901,166.6737097031846,48.82368024284689,56.86718433119582,0.0151627641927518,0.0136352580871772,True,,115.0,760.0,0,False,63.92762823246868,
coarse_higher_R2.000_C0.600,modifier,higher,2.0,0.6,150.0,90.0,148.60512489521057,90.7067870743288,ok,125.96244501200272,142.99520413740424,97.21395600004644,120.95758558619389,72.01312379704805,3.806591162644214,1.8565360714419008,0.9998584938557104,0.9999928532250362,0.9999378365738,1.000016136032494,0.0,442.3543430057642,293.4942804430856,293.49428044308644,519.0306000621877,879.8726737067939,567.9015274548369,184.32028067386483,152.81268355856622,45.78124813735779,52.85968670616471,0.0170827293799504,0.0133229172502353,True,,124.0,836.0,0,False,73.81445833669164,
